iter	Passed	Remaining
333	1743	3476
334	1748	3471
335	1753	3465
336	1758	3460
337	1764	3455
338	1769	3450
339	1775	3446
340	1780	3441
341	1785	3435
342	1791	3431
343	1797	3427
344	1802	3422
345	1808	3418
346	1813	3412
347	1818	3406
348	1823	3402
349	1829	3397
350	1834	3391
351	1839	3387
352	1844	3381
353	1849	3375
354	1870	3398
355	1874	3391
356	1879	3385
357	1885	3380
358	1890	3374
359	1894	3368
360	1899	3362
361	1905	3358
362	1910	3352
363	1915	3346
364	1921	3342
365	1926	3337
366	1932	3332
367	1937	3327
368	1944	3324
369	1950	3321
370	1955	3315
371	1960	3310
372	1966	3305
373	1971	3299
374	1976	3293
375	1981	3288
376	1986	3283
377	1992	3277
378	1997	3272
379	2002	3267
380	2007	3261
381	2012	3256
382	2018	3251
383	2023	3246
384	2028	3240
385	2034	3235
386	2039	3230
387	2044	3224
388	2049	3219
389	2055	3214
390	2059	3208
391	2065	3203
392	2070	3197
393	2075	3192
394	2080	3187
395	2086	3182
396	2091	3176
397	2096	3171
398	2101	3165
399	2106	3160
400	2111	3154
401	2116	3149
402	2121	3143
403	2126	3137
404	2132	3132
405	2137	3127
406	2142	3121
407	2147	3116
408	2152	3111
409	2158	3105
410	2163	3100
411	2168	3094
412	2173	3089
413	2179	3084
414	2184	3079
415	2189	3073
416	2194	3068
417	2200	3063
418	2204	3057
419	2210	3052
420	2215	3046
421	2220	3041
422	2225	3036
423	2236	3038
424	2249	3043
425	2257	3041
426	2263	3037
427	2269	3033
428	2276	3030
429	2283	3026
430	2290	3023
431	2295	3018
432	2302	3014
433	2309	3011
434	2315	3008
435	2321	3003
436	2327	2998
437	2333	2994
438	2343	2994
439	2351	2992
440	2369	3003
441	2374	2997
442	2379	2991
443	2384	2986
444	2389	2980
445	2394	2974
446	2400	2969
447	2405	2963
448	2410	2958
449	2415	2952
450	2420	2946
451	2426	2941
452	2431	2935
453	2436	2929
454	2441	2924
455	2447	2919
456	2451	2913
457	2457	2907
458	2462	2902
459	2467	2896
460	2473	2891
461	2478	2885
462	2483	2880
463	2488	2874
464	2493	2869
465	2498	2863
466	2504	2858
467	2509	2852
468	2514	2846
469	2519	2841
470	2524	2835
471	2530	2830
472	2535	2824
473	2541	2819
474	2545	2813
475	2551	2808
476	2556	2803
477	2561	2797
478	2566	2791
479	2571	2785
480	2577	2780
481	2581	2774
482	2587	2769
483	2592	2763
484	2597	2758
485	2603	2753
486	2608	2747
487	2613	2741
488	2618	2736
489	2623	2730
490	2628	2724
491	2633	2719
492	2638	2713
493	2643	2708
494	2649	2703
495	2654	2697
496	2659	2691
497	2664	2686
498	2669	2680
499	2674	2674
500	2680	2669
501	2685	2664
502	2690	2658
503	2695	2652
504	2700	2647
505	2705	2641
506	2710	2635
507	2716	2630
508	2721	2625
509	2726	2619
510	2732	2614
511	2737	2609
512	2742	2603
513	2748	2598
514	2753	2593
515	2758	2587
516	2763	2581
517	2768	2576
518	2773	2570
519	2778	2565
520	2784	2559
521	2789	2554
522	2794	2548
523	2799	2542
524	2804	2537
525	2809	2531
526	2815	2526
527	2819	2520
528	2825	2515
529	2830	2510
530	2835	2504
531	2840	2498
532	2845	2493
533	2851	2488
534	2856	2482
535	2861	2477
536	2866	2471
537	2871	2466
538	2877	2461
539	2882	2455
540	2887	2449
541	2893	2444
542	2898	2439
543	2903	2433
544	2909	2428
545	2914	2423
546	2919	2417
547	2924	2412
548	2929	2406
549	2934	2401
550	2939	2395
551	2945	2390
552	2949	2384
553	2954	2378
554	2959	2373
555	2965	2367
556	2969	2362
557	2981	2361
558	2985	2355
559	2990	2349
560	2996	2344
561	3001	2339
562	3006	2333
563	3011	2328
564	3017	2322
565	3022	2317
566	3027	2311
567	3032	2306
568	3037	2300
569	3042	2295
570	3048	2290
571	3052	2284
572	3058	2279
573	3064	2273
574	3069	2268
575	3074	2263
576	3079	2257
577	3085	2252
578	3090	2247
579	3096	2242
580	3100	2236
581	3106	2231
582	3111	2225
583	3116	2220
584	3122	2214
585	3127	2209
586	3132	2203
587	3137	2198
588	3142	2192
589	3147	2187
590	3153	2182
591	3158	2176
592	3163	2171
593	3168	2165
594	3173	2160
595	3178	2154
596	3183	2149
597	3188	2143
598	3193	2138
599	3199	2132
600	3204	2127
601	3209	2121
602	3214	2116
603	3220	2111
604	3225	2105
605	3230	2100
606	3236	2095
607	3241	2089
608	3246	2084
609	3251	2078
610	3256	2073
611	3261	2068
612	3267	2063
613	3272	2057
614	3277	2051
615	3282	2046
616	3287	2040
617	3293	2035
618	3298	2030
619	3303	2024
620	3308	2019
621	3313	2013
622	3319	2008
623	3324	2003
624	3329	1997
625	3334	1992
626	3339	1986
627	3344	1981
628	3350	1975
629	3355	1970
630	3360	1965
631	3366	1959
632	3371	1954
633	3376	1949
634	3381	1943
635	3386	1938
636	3391	1932
637	3397	1927
638	3402	1922
639	3407	1916
640	3412	1911
641	3417	1905
642	3422	1900
643	3428	1895
644	3433	1889
645	3438	1884
646	3444	1879
647	3449	1873
648	3453	1868
649	3459	1862
650	3463	1856
651	3469	1851
652	3474	1846
653	3480	1841
654	3485	1835
655	3490	1830
656	3495	1824
657	3501	1819
658	3505	1814
659	3511	1808
660	3516	1803
661	3521	1798
662	3526	1792
663	3531	1787
664	3536	1781
665	3542	1776
666	3547	1771
667	3552	1765
668	3557	1760
669	3563	1755
670	3567	1749
671	3573	1744
672	3578	1738
673	3583	1733
674	3588	1727
675	3594	1722
676	3599	1717
677	3604	1711
678	3609	1706
679	3614	1701
680	3619	1695
681	3625	1690
682	3630	1684
683	3635	1679
684	3640	1674
685	3645	1668
686	3651	1663
687	3656	1658
688	3661	1652
689	3666	1647
690	3672	1642
691	3677	1636
692	3682	1631
693	3687	1625
694	3692	1620
695	3697	1615
696	3702	1609
697	3707	1604
698	3712	1598
699	3717	1593
700	3722	1587
701	3727	1582
702	3733	1577
703	3738	1572
704	3744	1566
705	3749	1561
706	3754	1555
707	3759	1550
708	3763	1544
709	3768	1539
710	3773	1533
711	3778	1528
712	3783	1522
713	3788	1517
714	3793	1511
715	3798	1506
716	3803	1501
717	3807	1495
718	3812	1490
719	3817	1484
720	3822	1479
721	3827	1473
722	3832	1468
723	3837	1462
724	3842	1457
725	3847	1451
726	3851	1446
727	3856	1440
728	3861	1435
729	3866	1430
730	3871	1424
731	3876	1419
732	3881	1413
733	3886	1408
734	3890	1402
735	3895	1397
736	3900	1391
737	3905	1386
738	3910	1380
739	3915	1375
740	3920	1370
741	3924	1364
742	3929	1359
743	3934	1353
744	3939	1348
745	3944	1342
746	3949	1337
747	3954	1332
748	3959	1326
749	3964	1321
750	3968	1315
751	3973	1310
752	3978	1304
753	3983	1299
754	3988	1294
755	3993	1288
756	3998	1283
757	4002	1277
758	4007	1272
759	4012	1267
760	4017	1261
761	4022	1256
762	4027	1250
763	4032	1245
764	4037	1240
765	4041	1234
766	4046	1229
767	4051	1223
768	4056	1218
769	4061	1213
770	4066	1207
771	4071	1202
772	4076	1197
773	4081	1191
774	4085	1186
775	4090	1180
776	4095	1175
777	4100	1170
778	4105	1164
779	4110	1159
780	4115	1153
781	4120	1148
782	4124	1143
783	4130	1137
784	4135	1132
785	4140	1127
786	4147	1122
787	4152	1117
788	4157	1111
789	4163	1106
790	4168	1101
791	4174	1096
792	4180	1091
793	4185	1085
794	4190	1080
795	4196	1075
796	4201	1070
797	4207	1064
798	4212	1059
799	4218	1054
800	4224	1049
801	4230	1044
802	4236	1039
803	4244	1034
804	4250	1029
805	4257	1024
806	4262	1019
807	4267	1014
808	4273	1009
809	4279	1003
810	4284	998
811	4290	993
812	4295	988
813	4300	982
814	4307	977
815	4312	972
816	4317	966
817	4322	961
818	4327	956
819	4332	951
820	4338	945
821	4344	940
822	4348	935
823	4354	930
824	4360	924
825	4365	919
826	4371	914
827	4376	909
828	4382	903
829	4388	898
830	4394	893
831	4401	888
832	4406	883
833	4410	877
834	4417	872
835	4422	867
836	4427	862
837	4433	857
838	4438	851
839	4443	846
840	4450	841
841	4455	836
842	4460	830
843	4466	825
844	4471	820
845	4476	814
846	4483	809
847	4487	804
848	4492	799
849	4499	793
850	4504	788
851	4509	783
852	4515	778
853	4520	772
854	4525	767
855	4531	762
856	4536	756
857	4541	751
858	4548	746
859	4553	741
860	4558	735
861	4564	730
862	4569	725
863	4574	720
864	4581	714
865	4586	709
866	4591	704
867	4597	699
868	4603	693
869	4608	688
870	4614	683
871	4619	678
872	4624	672
873	4630	667
874	4634	662
875	4640	656
876	4645	651
877	4650	646
878	4655	640
879	4660	635
880	4665	630
881	4670	624
882	4675	619
883	4680	614
884	4685	608
885	4690	603
886	4696	598
887	4701	592
888	4706	587
889	4710	582
890	4715	576
891	4720	571
892	4725	566
893	4736	561
894	4742	556
895	4747	551
896	4769	547
897	4775	542
898	4780	537
899	4785	531
900	4792	526
901	4797	521
902	4802	515
903	4808	510
904	4813	505
905	4818	499
906	4824	494
907	4829	489
908	4834	484
909	4840	478
910	4862	475
911	4867	469
912	4873	464
913	4880	459
914	4886	453
915	4892	448
916	4897	443
917	4902	437
918	4909	432
919	4913	427
920	4919	422
921	4925	416
922	4930	411
923	4936	406
924	4941	400
925	4946	395
926	4953	390
927	4958	384
928	4963	379
929	4970	374
930	4975	368
931	4980	363
932	4986	358
933	4991	352
934	4996	347
935	5002	342
936	5008	336
937	5013	331
938	5019	326
939	5024	320
940	5029	315
941	5034	310
942	5040	304
943	5045	299
944	5050	293
945	5055	288
946	5060	283
947	5066	277
948	5072	272
949	5077	267
950	5082	261
951	5088	256
952	5093	251
953	5099	245
954	5104	240
955	5110	235
956	5116	229
957	5121	224
958	5126	219
959	5133	213
960	5138	208
961	5143	203
962	5149	197
963	5154	192
964	5159	187
965	5165	181
966	5170	176
967	5187	171
968	5192	166
969	5198	160
970	5203	155
971	5208	150
972	5214	144
973	5219	139
974	5224	133
975	5230	128
976	5235	123
977	5240	117
978	5246	112
979	5251	107
980	5256	101
981	5262	96
982	5268	91
983	5273	85
984	5278	80
985	5284	75
986	5289	69
987	5295	64
988	5300	58
989	5306	53
990	5312	48
991	5318	42
992	5323	37
993	5330	32
994	5335	26
995	5341	21
996	5346	16
997	5351	10
998	5358	5
999	5363	0
