iter	RMSE
416	2540.170509
417	2538.479691
418	2537.913814
419	2535.744921
420	2534.820923
421	2532.822132
422	2531.149004
423	2529.399231
424	2527.759828
425	2527.336418
426	2525.501567
427	2523.866867
428	2521.781846
429	2519.173164
430	2517.09752
431	2515.101398
432	2513.000111
433	2511.459876
434	2509.372424
435	2508.464786
436	2507.317122
437	2505.777179
438	2504.030815
439	2502.312276
440	2501.620886
441	2500.273051
442	2499.102283
443	2496.81341
444	2495.489518
445	2493.908181
446	2491.867209
447	2490.492997
448	2488.219733
449	2486.822141
450	2484.104194
451	2482.449669
452	2480.572257
453	2479.315457
454	2478.736316
455	2476.362871
456	2475.061185
457	2473.743134
458	2472.351691
459	2471.131461
460	2469.161835
461	2467.59918
462	2465.604715
463	2465.054273
464	2464.384692
465	2462.688966
466	2461.038102
467	2457.460149
468	2455.843853
469	2454.782548
470	2453.870563
471	2452.469276
472	2450.807289
473	2449.102963
474	2447.592507
475	2445.455878
476	2444.673343
477	2443.485317
478	2441.532149
479	2439.47262
480	2438.011735
481	2435.905972
482	2433.429192
483	2431.293829
484	2429.851695
485	2428.17625
486	2426.854059
487	2425.362673
488	2423.95784
489	2422.648663
490	2421.22076
491	2421.095211
492	2419.447271
493	2417.586102
494	2415.697386
495	2414.232387
496	2413.377976
497	2411.301978
498	2410.236378
499	2407.554751
500	2406.436214
501	2404.449719
502	2403.140985
503	2401.616784
504	2400.531125
505	2398.881255
506	2396.480886
507	2394.271608
508	2392.420489
509	2390.753666
510	2388.807674
511	2387.431287
512	2385.827111
513	2383.623031
514	2381.838447
515	2379.251545
516	2378.69377
517	2376.895953
518	2374.646226
519	2373.714052
520	2371.312143
521	2370.387225
522	2368.399972
523	2367.113909
524	2365.345811
525	2362.813136
526	2361.938384
527	2361.039928
528	2359.761612
529	2358.183204
530	2357.141948
531	2355.475875
532	2354.686858
533	2353.172942
534	2351.346082
535	2349.629615
536	2348.020815
537	2346.175621
538	2345.092349
539	2342.059422
540	2339.039422
541	2337.376744
542	2335.924309
543	2334.789253
544	2333.113651
545	2331.543181
546	2329.830188
547	2329.01213
548	2326.356254
549	2324.797104
550	2323.36651
551	2322.271618
552	2321.677851
553	2320.519675
554	2318.964589
555	2317.441832
556	2315.776966
557	2314.622969
558	2313.563783
559	2312.521297
560	2310.575111
561	2308.697713
562	2306.629449
563	2304.962186
564	2303.692236
565	2301.338383
566	2300.071778
567	2298.797572
568	2297.762624
569	2297.079192
570	2296.242341
571	2295.146227
572	2294.210702
573	2293.123487
574	2291.797266
575	2290.004155
576	2288.27589
577	2287.400139
578	2286.017701
579	2284.613299
580	2283.244434
581	2281.823512
582	2280.531005
583	2278.467003
584	2277.609825
585	2275.07208
586	2274.30091
587	2272.469059
588	2271.836738
589	2270.056025
590	2268.294517
591	2266.327283
592	2264.679832
593	2264.092969
594	2262.726403
595	2261.752946
596	2260.700797
597	2259.097092
598	2258.122304
599	2256.392745
600	2255.708573
601	2253.258649
602	2251.819301
603	2250.7005
604	2248.981619
605	2247.183008
606	2245.052252
607	2243.467765
608	2242.791944
609	2239.899771
610	2238.990845
611	2236.901901
612	2235.034819
613	2234.169963
614	2233.07256
615	2231.602892
616	2229.999922
617	2228.027555
618	2226.116915
619	2224.376712
620	2223.241622
621	2222.646699
622	2221.462435
623	2220.99694
624	2220.118263
625	2219.054115
626	2218.136618
627	2217.018586
628	2216.216021
629	2215.061024
630	2214.128406
631	2213.031722
632	2211.395956
633	2210.116229
634	2208.767913
635	2207.453053
636	2206.158015
637	2204.474043
638	2201.715639
639	2200.381387
640	2199.427313
641	2198.286398
642	2197.277132
643	2196.436587
644	2195.078335
645	2193.8411
646	2191.714837
647	2190.880977
648	2190.164643
649	2189.053012
650	2187.346571
651	2186.505764
652	2185.170879
653	2184.509753
654	2183.66118
655	2182.727664
656	2181.428808
657	2180.369742
658	2178.788083
659	2177.208074
660	2175.97177
661	2174.338995
662	2173.789943
663	2173.117409
664	2172.144969
665	2170.642737
666	2168.915582
667	2167.722611
668	2166.016215
669	2164.608918
670	2163.202069
671	2162.153052
672	2160.668219
673	2159.516563
674	2159.001649
675	2158.625878
676	2157.291378
677	2156.260798
678	2155.04991
679	2153.29429
680	2152.463814
681	2151.470225
682	2150.682021
683	2149.779789
684	2147.98844
685	2146.751318
686	2145.382077
687	2143.957257
688	2142.820433
689	2141.27276
690	2139.951212
691	2139.221018
692	2137.769286
693	2136.696795
694	2135.18994
695	2134.002575
696	2132.323887
697	2131.338162
698	2129.929019
699	2128.786859
700	2127.705297
701	2126.934804
702	2125.437882
703	2123.928454
704	2123.27359
705	2121.915896
706	2120.491087
707	2119.197027
708	2118.64094
709	2117.573878
710	2116.034827
711	2114.972411
712	2114.182639
713	2112.737571
714	2111.304493
715	2109.755517
716	2108.931383
717	2107.84762
718	2107.148842
719	2105.187762
720	2104.468964
721	2103.340851
722	2102.487424
723	2101.019391
724	2099.101946
725	2097.55105
726	2096.71224
727	2095.501231
728	2094.389078
729	2094.04943
730	2092.397161
731	2090.93671
732	2090.108692
733	2088.382526
734	2085.891545
735	2082.933562
736	2082.377431
737	2081.38367
738	2080.577194
739	2079.264841
740	2078.52668
741	2077.669764
742	2076.295045
743	2075.476726
744	2074.023437
745	2073.10372
746	2071.736655
747	2070.359651
748	2069.429471
749	2067.885277
750	2066.86331
751	2066.616284
752	2065.658056
753	2064.83208
754	2063.94212
755	2062.794665
756	2061.504615
757	2060.756067
758	2060.167626
759	2059.008085
760	2058.272319
761	2056.754322
762	2055.895722
763	2055.037452
764	2053.157544
765	2052.207391
766	2051.364913
767	2049.83596
768	2049.299975
769	2048.485813
770	2047.794794
771	2047.165234
772	2046.579232
773	2044.960066
774	2043.947531
775	2042.974348
776	2042.567761
777	2041.736922
778	2041.146859
779	2040.255222
780	2039.095501
781	2037.573799
782	2036.548047
783	2035.633591
784	2034.874734
785	2033.629068
786	2032.01949
787	2031.954738
788	2030.805668
789	2030.208788
790	2029.737191
791	2028.826171
792	2027.829646
793	2025.872232
794	2024.556834
795	2023.939357
796	2023.060796
797	2022.002201
798	2020.987695
799	2019.898718
800	2018.732073
801	2017.73933
802	2017.57809
803	2016.905755
804	2015.229385
805	2013.903505
806	2012.186111
807	2010.590684
808	2009.538501
809	2008.663071
810	2007.219235
811	2006.755633
812	2005.58973
813	2005.028269
814	2003.768516
815	2001.833136
816	2000.90307
817	2000.144533
818	1998.785407
819	1997.755842
820	1996.738492
821	1995.687004
822	1994.879828
823	1993.964988
824	1992.894249
825	1991.58322
826	1990.308905
827	1989.045789
828	1987.946434
829	1987.416381
830	1986.356333
831	1985.377136
832	1984.430011
833	1982.95854
834	1981.687627
835	1981.073061
836	1980.343525
837	1978.641797
838	1977.449579
839	1976.815155
840	1975.88236
841	1974.791091
842	1974.045435
843	1972.767864
844	1972.164144
845	1970.739035
846	1970.183307
847	1969.652925
848	1968.734421
849	1968.323535
850	1967.326086
851	1966.687709
852	1966.065891
853	1965.713019
854	1964.821281
855	1963.468293
856	1962.342975
857	1961.454017
858	1960.570338
859	1959.82962
860	1958.496558
861	1957.67712
862	1956.919857
863	1956.166888
864	1955.525922
865	1955.339917
866	1954.594942
867	1953.996482
868	1952.94245
869	1952.146819
870	1951.066512
871	1950.155975
872	1948.532513
873	1947.315252
874	1946.874465
875	1945.960987
876	1945.194625
877	1944.732925
878	1943.916433
879	1943.365029
880	1942.532124
881	1941.377114
882	1939.86933
883	1938.237946
884	1937.4505
885	1936.87494
886	1935.30885
887	1934.375332
888	1933.627908
889	1933.533144
890	1932.195223
891	1930.642666
892	1929.869705
893	1928.81077
894	1927.445312
895	1926.705314
896	1925.717782
897	1924.020938
898	1922.891574
899	1922.296355
900	1920.454581
901	1919.684395
902	1919.102515
903	1917.813268
904	1917.187269
905	1915.485968
906	1914.944473
907	1914.286097
908	1913.167918
909	1912.336972
910	1911.880853
911	1910.41883
912	1909.449724
913	1907.574462
914	1906.130147
915	1905.432022
916	1904.676586
917	1904.016615
918	1902.992463
919	1902.638271
920	1902.039161
921	1901.284565
922	1900.103489
923	1899.129535
924	1898.784109
925	1897.202588
926	1896.176761
927	1895.006221
928	1893.900123
929	1893.046513
930	1891.940318
931	1891.399114
932	1890.153128
933	1889.475422
934	1888.237391
935	1887.60586
936	1886.518941
937	1885.740962
938	1885.104779
939	1884.376595
940	1883.715772
941	1883.437627
942	1882.352312
943	1882.035941
944	1881.737424
945	1881.221426
946	1880.857147
947	1880.234364
948	1879.006682
949	1878.145668
950	1876.775039
951	1876.291148
952	1875.632697
953	1874.909082
954	1874.127404
955	1873.161142
956	1872.510857
957	1871.113853
958	1870.331419
959	1869.169768
960	1868.123687
961	1866.634378
962	1865.97668
963	1865.229064
964	1864.672781
965	1863.473408
966	1862.891204
967	1862.611556
968	1862.019821
969	1861.49135
970	1860.30912
971	1859.35498
972	1857.730786
973	1857.469295
974	1856.684906
975	1856.113676
976	1855.803054
977	1854.793337
978	1854.063816
979	1853.776074
980	1852.596164
981	1851.946469
982	1851.103343
983	1850.285926
984	1849.002729
985	1848.568011
986	1847.108469
987	1846.874255
988	1845.879145
989	1844.693109
990	1843.601195
991	1842.097588
992	1841.295283
993	1840.849045
994	1840.38017
995	1840.048402
996	1839.517298
997	1838.826233
998	1837.742415
999	1836.694501
